"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
150510;"ATIVO";"MUNIC";"Óbidos";"Pará";-1,90924;-55,51632;30;28021,419
150520;"ATIVO";"MUNIC";"Oeiras do Pará";"Pará";-2,00473;-49,85511;7;3852,291
150530;"ATIVO";"MUNIC";"Oriximiná";"Pará";-1,76375;-55,8628;43;107603,435
150540;"ATIVO";"MUNIC";"Ourém";"Pará";-1,54895;-47,11762;15;562,388
150543;"ATIVO";"MUNIC";"Ourilândia do Norte";"Pará";-6,74062;-51,09083;322;14410,567
150548;"ATIVO";"MUNIC";"Pacajá";"Pará";-3,83031;-50,63484;71;11832,33
150549;"ATIVO";"MUNIC";"Palestina do Pará";"Pará";-5,74993;-48,32179;123;984,362
150550;"ATIVO";"MUNIC";"Paragominas";"Pará";-2,99419;-47,35696;88;19342,254
150553;"ATIVO";"MUNIC";"Parauapebas";"Pará";-6,07273;-49,90078;155;6886,208
150555;"ATIVO";"MUNIC";"Pau D'Arco";"Pará";-7,83679;-50,04828;191;1671,419
150560;"ATIVO";"MUNIC";"Peixe-Boi";"Pará";-1,18957;-47,31793;25;450,222
150563;"ATIVO";"MUNIC";"Piçarra";"Pará";-6,45368;-48,8684;192;3312,706
150565;"ATIVO";"MUNIC";"Placas";"Pará";-3,86732;-54,21697;107;7173,194
150570;"ATIVO";"MUNIC";"Ponta de Pedras";"Pará";-1,3966;-48,87179;4;3363,662
150580;"ATIVO";"MUNIC";"Portel";"Pará";-1,93645;-50,82249;11;25384,96
150590;"ATIVO";"MUNIC";"Porto de Moz";"Pará";-1,74609;-52,24248;13;17423,017
150600;"ATIVO";"MUNIC";"Prainha";"Pará";-1,80569;-53,48181;12;14786,987
150610;"ATIVO";"MUNIC";"Primavera";"Pará";-0,94011;-47,11725;20;258,6
150611;"ATIVO";"MUNIC";"Quatipuru";"Pará";-0,90012;-47,00679;14;326,113
150613;"ATIVO";"MUNIC";"Redenção";"Pará";-8,0276;-50,02964;224;3823,809
150616;"ATIVO";"MUNIC";"Rio Maria";"Pará";-7,31112;-50,04641;200;4114,61
150618;"ATIVO";"MUNIC";"Rondon do Pará";"Pará";-4,77782;-48,06997;193;8246,394
150619;"ATIVO";"MUNIC";"Rurópolis";"Pará";-4,09907;-54,90586;144;7021,321
150620;"ATIVO";"MUNIC";"Salinópolis";"Pará";-0,62364;-47,35312;27;237,738
150630;"ATIVO";"MUNIC";"Salvaterra";"Pará";-0,75453;-48,51319;16;1039,072
150635;"ATIVO";"MUNIC";"Santa Bárbara do Pará";"Pará";-1,22944;-48,29774;13;278,154
150640;"ATIVO";"MUNIC";"Santa Cruz do Arari";"Pará";-0,65997;-49,17162;5;1076,652
150650;"ATIVO";"MUNIC";"Santa Izabel do Pará";"Pará";-1,2974;-48,16306;29;717,662
150655;"ATIVO";"MUNIC";"Santa Luzia do Pará";"Pará";-1,51883;-46,90617;80;1356,124
150658;"ATIVO";"MUNIC";"Santa Maria das Barreiras";"Pará";-8,87055;-49,71935;165;10330,214
